Country,ISO3,P1: State Legitimacy,Human,avg_gdp_pcap,gdp_pcap_growth_volatility,unemployment,inflation,Exposure to Natural Hazard,Aid Dependency,Flood,Tsunami,Tropical Cyclone,Drought,Communication,Quality of Infrastructure,gp_risk,ec_risk,nd_risk,sc_risk,overall_weights,gp_rating,ec_rating,nd_rating,sc_rating,ov_rating
ITALY,ITA,37.0,17.0,68.36238698246738,19.4569731305758,43.69734401978917,14.439218556259672,76.2,0.0,54.0,74.0,0.0,28.0,17.0,49.1,25.931393975146413,47.20049775380781,71.04497289064439,36.1077798330331,43.65659157151998,4,7,8,4,5.75
JAMAICA,JAM,45.0,3.0,95.92342284296328,2.8830222350495958,49.138068383744304,27.74160043863525,100.0,2.0,31.0,0.0,72.0,25.0,32.0,51.3,21.755927347807475,55.72612695202819,29.953018850966902,43.48847821736881,24.976577761759494,3,9,4,6,5.5
JAPAN,JPN,9.0,6.0,56.081819564494324,6.225636355474751,11.117803430096599,13.989219642802828,100.0,0.0,39.0,100.0,100.0,5.0,14.0,9.299999999999997,7.339709096271962,25.61750197136617,89.34079852196645,11.202287687998268,39.55806880368623,2,1,10,1,3.5
JORDAN,JOR,61.464835238288885,13.0,97.28266045854807,5.799911604324518,52.690245082135405,18.77658998648401,45.4,74.0,26.0,0.0,0.0,68.0,13.0,50.5,34.642926872685855,58.390714997324544,15.682631817798452,35.322172702141465,27.193396500402066,5,9,2,4,5.0
KAZAKHSTAN,KAZ,84.38514842526811,11.0,90.42655661972627,22.216982415980656,18.44402576535522,30.484583652199515,32.099999999999994,0.0,60.0,0.0,0.0,50.0,13.0,56.7,43.77158362553325,44.05243060776654,18.36053175237515,39.01277192222886,33.787540541141794,6,6,3,5,5.0
KENYA,KEN,81.0,65.0,99.3467494065816,3.2759415432363213,43.41295771230546,30.81024184332343,5.900000000000006,18.0,56.0,60.0,0.0,70.0,51.0,48.6,72.14511518011713,54.419794045404885,46.02703421270832,49.57138094706295,61.88327922929287,9,9,6,7,7.75
KUWAIT,KWT,72.914871882463,2.0,66.98021394503829,23.79924154476486,8.230468442339813,0.0,71.7,0.0,13.0,0.0,0.0,31.0,13.0,52.2,33.6684329739655,31.70979213695317,19.86397923683482,36.33411119797188,28.24464093434567,5,2,3,4,3.5
LAOS,LAO,88.81260954446131,15.0,98.92651504660553,5.146237470850479,1.9777521656645174,21.29119279970954,48.8,18.0,91.0,0.0,35.0,25.0,52.0,59.8,47.962474808761826,36.07313077602407,27.875022945851548,56.643011922045424,40.070082716690166,7,2,4,8,5.25
LATVIA,LVA,31.0,1.0,86.9309110228796,10.814422667483518,35.76270086283458,15.433386503032231,13.900000000000006,0.0,66.0,0.0,0.0,20.0,14.0,49.4,14.397090962719625,48.26161835055024,14.943417134733055,35.07213103082154,14.61174339295902,2,7,2,4,3.75
LEBANON,LBN,73.36455805045465,70.0,93.53172860786873,22.561235947319574,24.713515133241533,17.711022807280617,98.6,58.0,12.0,72.0,0.0,26.0,23.0,89.4,71.50250967504304,48.00709069177555,68.04212819353953,62.5251271312585,70.14292023450298,9,7,7,9,8.0
LITHUANIA,LTU,24.000000000000004,0.0,85.87114766643198,8.842019445711571,31.2117353880245,15.935579337796362,10.400000000000006,0.0,47.0,0.0,0.0,31.0,15.0,35.400000000000006,10.717672770175701,45.44727390098579,10.764576319556244,27.143261949964963,10.73610125004201,2,6,1,2,2.75
LUXEMBOURG,LUX,7.0,0.0,0.0,15.153940164987095,22.077021088548673,14.852450868066597,4.700000000000003,0.0,20.0,0.0,0.0,0.0,10.0,21.400000000000006,3.125987891301246,13.032484895118879,4.648014394309809,16.78594050145101,3.7239945483052717,1,1,1,1,1.0
MADAGASCAR,MDG,68.0,9.0,100.0,7.8109002895915545,5.827278371708419,28.126758932862117,100.0,25.0,73.0,78.0,75.0,43.0,80.0,82.6,35.34761222668193,38.72046798754905,82.52422543458393,81.54767064068182,53.8833793092284,5,3,10,10,7.0
MALAYSIA,MYS,74.0,11.0,90.3110501875808,7.7684855028749,11.773496057948822,16.03672180851163,36.6,0.0,66.0,71.0,29.0,33.0,18.0,27.700000000000003,39.13389102171121,38.037111075331254,61.685894583653976,23.774002005620595,47.99460943375084,5,3,7,2,4.25
MALI,MLI,60.82858981353289,80.0,99.70793539610453,18.08430577802107,28.293902730547575,16.166388854650677,35.7,40.0,70.0,0.0,0.0,51.0,74.0,81.5,71.43862912827635,50.81933747445951,20.991239544630453,78.4644345404283,51.61776875569842,9,8,3,10,7.5
MALTA,MLT,36.0,0.0,77.01264601576077,19.11362527377338,17.589338269319033,17.47479712183336,0.7999999999999972,0.0,1.0,77.0,0.0,0.0,19.0,51.3,16.07650915526355,38.40133758809376,45.02321512709697,38.22683142077785,27.449716412349783,3,3,5,5,4.0
MAURITIUS,MUS,27.0,1.0,91.46981663666693,1.8354834945910523,27.74647561228744,16.332708955600967,100.0,5.0,1.0,68.0,70.0,13.0,25.0,44.6,12.610812167690343,44.377356519041356,64.14388770951693,36.66705559898594,32.85824029656193,2,6,7,4,4.75
